Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
CSI,CUSPM BOX,11036,Wellington Victoria Uni Te Puni Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11039,Wellington CentrePort BNZ Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11040,Wellington CentrePort BNZ Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11041,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11042,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11043,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11044,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11045,Wellington Victoria Uni Te Puni Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11046,Wellington Victoria Uni Te Puni Building Array Cuspm,2009-04-14T12:01:00Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11047,Wellington Victoria Uni Te Puni Building Array Cuspm,2009-04-14T12:01:00Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11048,Wellington Victoria Uni Te Puni Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11049,Wellington Victoria Uni Te Puni Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11050,Wellington CentrePort BNZ Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11051,Wellington CentrePort BNZ Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11053,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11054,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11055,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11056,Wellington CentrePort BNZ Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11057,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11058,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11059,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11060,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11061,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11062,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11063,Wellington Regional Hospital Building Array Cuspm,2009-04-14T12:00:04Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11064,Wellington CentrePort BNZ Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11066,Wellington CentrePort BNZ Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11067,Wellington CentrePort BNZ Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11068,Wellington CentrePort BNZ Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,11069,Wellington CentrePort BNZ Building Array Cuspm,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,13032,Canterbury University Physics Department - CPXB Cuspm,2010-04-30T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSPM BOX,13041,Avalon East Wing Cuspm,2007-11-04T11:00:00Z,9999-01-01T00:00:00Z
