Make,Sensor,Datalogger,Serial,Station,Station Cusp3D Start Date,Firmware,Version,Firmware Start Date,Firmware End Date,Notes 
CSI,CUSP3D,CUSP3D,42261,RDCS,2019-06-18T00:25:00Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42262,RKAC,2017-09-12T22:23:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42263,RDCS,2015-04-21T23:51:30Z,Cusp3D+r,,2015-04-21T23:51:30Z,2019-06-18T00:00:00Z, Timing error
CSI,CUSP3D,CUSP3D,42263,,,Cusp3D+r,,,,Sent to CSI
CSI,CUSP3D,CUSP3D,42264,PIPS,2018-01-25T19:49:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42265,WNHS,2015-04-14T00:00:05Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42266,BTWS,2015-04-01T00:00:05Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42267,NCBS,2015-06-02T01:45:10Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42268,NELS,2015-06-03T08:45:10Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42269,SEVS,2016-04-05T03:25:00Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42270,WBCS,2015-04-21T01:38:48Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
