Mark,Operator,Agency,Model,Satellite System,Interval,Elevation Mask,Header Comment,Format,Start Date,End Date
VGWT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2011-11-10T23:07:26Z,2016-04-27T22:10:32Z
VGWT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-04-27T22:10:33Z,9999-01-01T00:00:00Z
WAHU,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2009-06-07T22:01:00Z,2018-05-22T00:40:29Z
WAHU,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2018-05-22T00:40:30Z,9999-01-01T00:00:00Z
WAIM,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,linz,trimble_5700 x4,2004-12-17T00:00:00Z,2010-11-22T05:50:00Z
WAIM,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,linz,trimble_netr9 x4,2010-11-22T05:59:00Z,2014-10-22T23:00:00Z
WAIM,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,linz,trimble_netr9 x4,2014-10-22T23:01:00Z,2016-07-26T17:04:00Z
WAIM,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2016-07-26T17:04:01Z,9999-01-01T00:00:00Z
WAKA,P Denys,OUSD,TRIMBLE 4000SSI,GPS,30s,4,sagenz,trimble_r x21,2000-11-02T00:00:00Z,2007-02-01T20:59:58Z
WAKA,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,sagenz,trimble_5700 x4,2007-02-01T21:00:00Z,2013-09-16T22:55:59Z
WAKA,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,sagenz,trimble_netr9 x4,2013-09-16T22:56:00Z,2014-07-09T23:59:00Z
