Station,Location,Band,Source,Sampling Rate,Axial,Reversed,Triggered,Start Date,End Date
CBLB,29,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,29,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,2A,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,2A,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,2A,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,2B,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,2B,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,2B,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,2C,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,2C,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,2C,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,2D,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,2D,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,2D,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,2E,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,2E,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,2E,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,2F,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,2F,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,2F,H,N,200,XYZ,false,false,2019-11-16T00:00:00Z,9999-01-01T00:00:00Z
CBLB,2G,B,N,50,XYZ,false,false,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
CBLB,2G,H,N,200,XYZ,false,true,2016-08-28T12:00:00Z,2019-11-15T00:00:00Z
