Mark Code,Network Code,Mark Name,Mark Type,Latitude,Longitude,Height,Datum,Vertical Offset,Dome Number,Plan Reference,Protection,Sky View,Established By,Start Time,End Time
RAUL,CG,Raoul Island,Nail,-29.244665471,-177.928950262,92.304,NZGD2000,0,,,,?,GeoNet,2009-05-15T12:00:00Z,9998-12-31T22:39:15Z
RAUL,CG,Raoul Island,Forced Centering,-29.244665471,-177.928950262,92.304,NZGD2000,0,,,,?,GeoNet,2009-05-15T12:00:00Z,9998-12-31T22:39:15Z
RAUL,CG,Raoul Island,Steel Pin,-29.244665471,-177.928950262,92.304,NZGD2000,0,,,,?,GeoNet,2009-05-15T12:00:00Z,9998-12-31T22:39:15Z
RAUL,CG,Raoul Island,Unmarked mark,-29.244665471,-177.928950262,92.304,NZGD2000,0,,,,?,GeoNet,2009-05-15T12:00:00Z,9998-12-31T22:39:15Z
RAUL,CG,Raoul Island,Not Specified,-29.244665471,-177.928950262,92.304,NZGD2000,0,,,,?,GeoNet,2009-05-15T12:00:00Z,9998-12-31T22:39:15Z
RAUM,CG,Raukumara Range,Lead Plug,-37.965002597,177.677525303,1140.976,NZGD2000,0,,,,Will require some bush trimming/felling,,2011-05-18T12:00:00Z,9998-12-31T22:45:27Z
RAUM,CG,Raukumara Range,Unmarked mark,-37.965002597,177.677525303,1140.976,NZGD2000,0,,,,Will require some bush trimming/felling,,2011-05-18T12:00:00Z,9998-12-31T22:45:27Z
RAUM,CG,Raukumara Range,Forced Centering,-37.965002597,177.677525303,1140.976,NZGD2000,0,,,,Will require some bush trimming/felling,,2011-05-18T12:00:00Z,9998-12-31T22:45:27Z
RAUM,CG,Raukumara Range,Stainless Steel Pin,-37.965002597,177.677525303,1140.976,NZGD2000,0,,,,Will require some bush trimming/felling,,2011-05-18T12:00:00Z,9998-12-31T22:45:27Z
RAUM,CG,Raukumara Range,Steel Pin,-37.965002597,177.677525303,1140.976,NZGD2000,0,,,,Will require some bush trimming/felling,,2011-05-18T12:00:00Z,9998-12-31T22:45:27Z
RAUM,CG,Raukumara Range,Iron Rod,-37.965002597,177.677525303,1140.976,NZGD2000,0,,,,Will require some bush trimming/felling,,2011-05-18T12:00:00Z,9998-12-31T22:45:27Z
RAUM,CG,Raukumara Range,Not Specified,-37.965002597,177.677525303,1140.976,NZGD2000,0,,,,Will require some bush trimming/felling,,2011-05-18T12:00:00Z,9998-12-31T22:45:27Z
RAUM,CG,Raukumara Range,Bronze Pin,-37.965002597,177.677525303,1140.976,NZGD2000,0,,,,Will require some bush trimming/felling,,2011-05-18T12:00:00Z,9998-12-31T22:45:27Z
RAUM,CG,Raukumara Range,Iron Spike,-37.965002597,177.677525303,1140.976,NZGD2000,0,,,,Will require some bush trimming/felling,,2011-05-18T12:00:00Z,9998-12-31T22:45:27Z
RAUM,CG,Raukumara Range,Iron Tube,-37.965002597,177.677525303,1140.976,NZGD2000,0,,,,Will require some bush trimming/felling,,2011-05-18T12:00:00Z,9998-12-31T22:45:27Z
RAUM,CG,Raukumara Range,Nail,-37.965002597,177.677525303,1140.976,NZGD2000,0,,,,Will require some bush trimming/felling,,2011-05-18T12:00:00Z,9998-12-31T22:45:27Z
RAWI,CG,Rawiri,Nail,-38.495555956,177.415398552,932,NZGD2000,-1.33,,,,great,,2008-12-31T11:00:00Z,9998-12-31T22:49:13Z
RAWI,CG,Rawiri,Iron Rod,-38.495555956,177.415398552,932,NZGD2000,-1.33,,,,great,,2008-12-31T11:00:00Z,9998-12-31T22:49:13Z
RAWI,CG,Rawiri,Steel Pin,-38.495555956,177.415398552,932,NZGD2000,-1.33,,,,great,,2008-12-31T11:00:00Z,9998-12-31T22:49:13Z
