Station Code,Location Code,Datalogger Place,Offset,Length,Start Date,End Date
LBZ,20,Totara Peak Q330,0,3,2004-06-03T18:20:00Z,2014-10-01T11:00:00Z
LFRZ,10,Lake Frazer Taurus,0,3,2009-07-16T12:21:00Z,2009-12-10T07:13:00Z
LIRZ,10,Lichenstein Road Q330,0,1,2005-11-09T11:00:00Z,9999-01-01T00:00:00Z
LNSD,10,Loch Ness Taurus,0,3,2010-09-05T10:25:01Z,2010-09-28T10:00:00Z
LOCC,10,Lochinver Orion,0,3,2001-01-11T07:41:00Z,2001-06-25T09:06:00Z
LOGO,10,Logan Burn Taurus,0,3,2014-03-12T10:15:00Z,2014-10-09T07:50:00Z
LOTT,40,Lottin Point Q330,0,1,2008-10-02T17:00:01Z,9999-01-01T00:00:00Z
LOTT,41,Lottin Point Q330,1,1,2008-10-02T17:00:01Z,9999-01-01T00:00:00Z
LREZ,10,Lake Rotokare Q330,0,3,2010-01-26T12:00:00Z,9999-01-01T00:00:00Z
LSTC,10,Last Cove Taurus,0,3,2009-07-16T13:50:00Z,2009-09-14T10:59:00Z
LTZ,10,Lake Taylor Station Q330,0,3,2013-10-22T16:05:01Z,9999-01-01T00:00:00Z
LTZ,10,Lake Taylor Station Q4120,3,3,2004-02-26T15:02:00Z,2013-10-22T16:05:00Z
LTZ,20,Lake Taylor Station Q4120,0,3,2004-02-26T11:00:00Z,2013-10-22T16:00:00Z
