Station,Location,Calibration,Magnitude Type,Start Date,End Date,Citations,Notes 
WHRZ,10,0.135724272,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WHTZ,10,0.041765653,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WHVZ,10,0.149894893,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WHZ,10,0.162605067,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WIAZ,10,-0.364420852,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WIZ,10,-0.351807441,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WKZ,10,0.365749038,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WMGZ,10,0.158848916,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WNVZ,10,0.102459783,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WNVZ,11,0.102459783,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WPHZ,10,0.276756743,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WPRZ,10,-0.162163095,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WSRZ,10,-0.105596237,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WTAZ,10,-0.086914247,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WTAZ,13,-0.086914247,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WTVZ,10,0.132543231,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
WVZ,10,0.012795932,MLnz20,2020-12-22T00:00:00,9999-01-01T00:00:00,Rhoades2020,Original correction
