Station,Layer,", Material  (Description)",", Overburden (Strength)",", Thickness ((m))",", Thickness (Notes)",", Notes ()",", References ()",", Bulk Dens ((t/m3))",", Bulk Dens (Notes)",", SPT(N) ()",", SPT(N) (Notes)",", Vs ((m/s))",", Vs (Notes)"
RPCS,1,gravels & sand,loose,5,?,loose/ medium dense pumice gravels,,,,,,,
RPCS,2,sandy gravel & silt ,medium dense,,?,(Hinuera Formation),,,,,,,
RPZ,1,silt- gravel,medium dense,10,?,glacial till and outwash gravels,,,,,,,
RQGS,1,topsoil and alluvium,soft,3,,loose / soft,,,,,,,
RQGS,2,"gravel, sand, silt",dense,47,c,"stiff/ dense Pleistocene sediments (gravel, sand, silt)",,,,40,,,
RRKS,1,gravel,medium dense,,?,"outwash gravels, moraine & till (Hawera Series)",,,,,,,
RUAS,1,silt/ gravel,firm,5,?,firm/ medium dense allvuial silts and gravels (terrace deposits),,,,,,,
RUZ,1,,,0,,,,,,,,,
SBRC,1,stony silt/ sandy gravel,stiff,,?,stony silt (0.4m) over greywacke alluvium ,,,,,,,
SCAC,1,silt - clayey silt/ loess & gravel,medium dense,,?,firm - stiff/ medium dense silt (0.9) over loess & greywacke loess and slope deposits with sandstone,,,,,,,
SHFC,1,sand - silt/ gravel ,medium dense,,?,loess (1m) over fluvioglacial outwash gravel (Windwhistle Fm),,,,,,,
SIZ,1,,,0,,,,,,,,,
SJFS,1,"silt over gravel, sand",medium dense,20,,loose to medium dense river gravel,,,,,,,
SKFS,1,sand / silt,loose,2,,loose / soft,,,,,,75,2-4.5m
SKFS,2,gravel,loose,3,,,,,,,,110,4.5-6m
SKFS,3,silt / clay,firm,15,,soft to firm,,,,,,90,6-12.5m
SKFS,4,sand,medium dense,5,,,,,,,,125,12.5 - 18m
SKFS,5,,,,,,,,,,,240,18-20.5m
SOCS,1,clay silt with thin layers of clay,soft,3,~,soft - firm,,,,,,,
SOCS,2,sandy gravels,firm,2,~,,,,,,,,
SOCS,3,silty clay,soft,5,~,,,,,,,,
SOCS,4,silty clay and gravels,firm,5,>,firm/ stiff,,,,,,,
SPFS,1,silt over gravels,firm,10,?,firm/ dense,,,,,,,
SWNC,1,sand - silt/ gravel ,medium dense,,?,loess (0.7m) over fluvioglacial outwash gravel (Burnham Fm),,,,,,,
SYZ,1,silt with gravel,stiff,,?,stiff/ medium dense,,,,,,,
TACS,1,sand with silt and peat,medium dense,25,c?,"loose/ medium dense/ firm fluviatile pumice, rhyolite & ignimbrite sands & gravels (Hinuera Fm)",,,,,,,
TAFS,1,sandy gravel,medium dense,30,,loose-medium dense post glacial sandy alluvium,,,,,20-60,,
TAFS,2,gravel,dense,170,,"dense-very dense moraine, till, outwash gravel",,,,,,100,>?
TBAS,1,mud & sand,soft ,20,>,very soft to soft estuarine mud & sand,,,,,,,
TBCS,1,volcanic ash over sand/ gravel.,stiff,120,soft/loose top 20m.,soft/loose-stiff/dense (Tauranga Group),,,,,,,
TDHS,1,"sand,gravel, peat",medium dense,50,?,"very soft/ loose-dense/ stiff dune sand, alluvium, marine & swamp deposits",,,,,,,
TEPS,1,rock fill,dense,11,,,,,,,,,
TEPS,2,silt sand,dense,4,,Holocene marine,,,,,,,
TEPS,3,sandy gravelly silt,medium dense,75,,stiff / medium dense Upper Pleistocene alluvium,,,,,30-100,,
TEPS,4,gravel,very dense,30,,Mid? Pleistocene angular gravel,,,,100,>,,
TFSS,1,"sand, gravel ",loose,5,,"sand, gravel (beach deposits)",,,,,,,
TFSS,2,sandy silty gravel ,medium dense,145,c,stiff / dense sandy silty gravel (Pleistocene),,,,,,,
THPS,1,"sand, silt, gravel",dense,2,,terrace alluvium,,,,,,,
THZ,1,,,0,,,,,,,,,
TIRS,1,silty sand with some stones,medium dense,3,,pumiceous,,,,,,,
TIRS,2,Oranui Breccia,,10," > 10m?",,,,,,,,
TIRS,3,Ignimbrite,hard,20,>20m?,,,,,,,,
TKAS,1,,,0,,,,,,,,,
TKHS,1,"gravel, silt & sand",medium dense,40,?,"soft/ firm - loose/ medium dense alluvium - Greywacke gravel, sand, silt",,,,,,,
TMBS,1,silt/ sand,stiff,5,,stiff/ medium dense loess,,,,,,,
TMDS,1,gravel,medium dense,10,,loose to medium dense alluvial gravel,,,,,,,
TMHS,1,sand & gravel,loose,9,,loose to medium dense,,,,,,,
TMHS,2,sandy clay/ bouldery sand,firm,10,,plastic/ firm-stiff/ medium dense andesitic clay (gritty) with iron pyrites crystals,,,,,,,
TOZ,1,,,0,,,,,,,,,
TPLC,1,sand - silt/ gravel ,medium dense,,?,fluvial gravel from degradation of older gravels (Springston Fm),,,,,,,
TPPS,1,gravel & sand,loose,5.5,,Taupo Alluvium (pumice gravel & sand),,,,,,,
