Make,Model,Serial,Number,Notes
Trimble Navigation Ltd.,TRM57971.00,4127561952,16364,
Trimble Navigation Ltd.,TRM57971.00,4127561953,16379,
Trimble Navigation Ltd.,TRM57971.00,4127561954,16326,
Trimble Navigation Ltd.,TRM57971.00,4127561961,16356,calibrated
Trimble Navigation Ltd.,TRM57971.00,4127561972,16325,
Trimble Navigation Ltd.,TRM57971.00,4127561981,16332,
Trimble Navigation Ltd.,TRM57971.00,4127561982,16350,
Trimble Navigation Ltd.,TRM57971.00,4127561985,16333,
Trimble Navigation Ltd.,TRM57971.00,4711118212,,
Trimble Navigation Ltd.,TRM57971.00,5000115109,15311,
